subject,variable,region,gender
0,-0.379524063,1,1
1,0.420953919,1,1
2,0.364543902,1,1
3,0.539582364,1,1
4,-0.320475531,1,1
5,-0.662383754,1,1
6,-1.177630333,1,1
7,0.000349641,1,1
8,-0.473239376,1,1
9,0.147316496,1,1
10,-0.918223179,1,2
11,-0.806458937,1,2
12,-0.399553547,1,2
13,0.800827623,1,2
14,-0.291212358,1,2
15,0.327365184,1,2
16,-0.788394136,1,2
17,-1.426748006,1,2
18,-0.490110385,1,2
19,-0.076356663,1,2
20,-1.097487329,2,1
21,-1.014846035,2,1
22,-0.339591673,2,1
23,0.977844414,2,1
24,-0.646046351,2,1
25,-0.430403893,2,1
26,0.341204297,2,1
27,0.636989759,2,1
28,0.298240011,2,1
29,0.714494247,2,1
30,0.040813412,2,2
31,-1.19872703,2,2
32,0.103160644,2,2
33,-0.355130891,2,2
34,-0.764407993,2,2
35,1.110185394,2,2
36,-0.150042492,2,2
37,-0.074783136,2,2
38,-0.148595544,2,2
39,0.025656155,2,2
40,-0.36568495,3,1
41,0.52586983,3,1
42,-0.201847086,3,1
43,0.880703823,3,1
44,0.911020563,3,1
45,0.454836162,3,1
46,-0.365951753,3,1
47,-0.229260733,3,1
48,-1.020376222,3,1
49,0.318536298,3,1
50,-0.74727018,3,2
51,0.093671572,3,2
52,0.391157139,3,2
53,-1.03237723,3,2
54,-0.763747808,3,2
55,-0.620599613,3,2
56,-1.099859041,3,2
57,-0.488132055,3,2
58,0.545646157,3,2
59,-0.771258549,3,2
