id,Normal,Binomial
1,0.559868352,5
2,1.254180866,4
3,1.198600688,4
4,-0.7832494958,6
5,-0.3016352517,8
6,-0.8633878464,4
7,0.9693563603,2
8,-0.3792291913,4
9,0.78793593,7
10,-0.04014192136,6
11,0.7407919159,5
12,0.1111081715,4
13,0.1154417987,5
14,0.1022402747,5
15,1.489568962,2
16,1.652700079,5
17,0.34049813,5
18,1.535379552,6
19,1.137736913,8
20,-2.018035296,5
21,1.274297676,3
22,1.291172325,3
23,-0.1332437521,5
24,-1.177192996,3
25,-0.532012501,7
26,-0.01153516006,4
27,-0.09609449287,7
28,-0.7777405526,6
29,0.04533092586,5
30,-1.710425681,6
31,2.514311395,5
32,0.5127098116,7
33,-1.450146134,5
34,1.470507611,6
35,-0.5877666697,4
36,-1.327139027,6
37,0.3444629175,6
38,-0.642053183,6
39,0.3226948724,2
40,1.707173375,4
41,-0.07072262677,3
42,2.057942434,4
43,-1.434660355,4
44,0.4755385145,4
45,-0.3275694429,4
46,0.4964983476,3
47,0.9536586287,5
48,0.6033720692,4
49,-0.6648402567,4
50,-0.4943264751,3
51,1.645524031,5
52,0.5447783989,3
53,0.03508396374,6
54,1.047828249,4
55,1.929704034,6
56,0.936575793,6
57,-0.44149088,7
58,-0.5274492845,4
59,-1.460104543,9
60,-1.121719114,5
61,0.2555026344,4
62,-0.6109519645,5
63,-2.295336892,9
64,-0.8879202807,4
65,1.155524126,5
66,-0.313625502,6
67,0.8297048851,1
68,-0.7380135632,6
69,0.6981741216,4
70,-0.9035047604,5
71,-1.761929314,7
72,-0.6210021446,6
73,-0.9720498612,5
74,-0.2526624261,5
75,-0.9881751751,7
76,1.193868071,3
77,-1.053597208,0
78,-0.1407760494,4
79,-0.3270676204,5
80,-0.3286112923,3
81,-0.05872820669,8
82,-2.530325476,6
83,-0.862661667,2
84,-1.289271731,3
85,-0.3826017769,4
86,-1.302508898,6
87,0.7292833371,4
88,0.3950222345,3
89,-0.9172448097,7
90,-1.581578006,7
91,-1.043067213,7
92,-0.9036533659,4
93,-0.5126704284,7
94,0.06528323841,4
95,-0.3178640998,3
96,-1.105848514,4
97,-0.2422034872,4
98,-0.09164918863,4
99,-0.3786551577,5
100,0.575153064,7
