"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",71,544,2,"56"
0,"1",71,579,6,"56"
0,"1",66,717,10,"56"
1,"1",66,652,14,"56"
1,"1",66,432,15,"56"
1,"1",66,508,16,"56"
0,"1",82,498,19,"56"
0,"1",66,588,26,"56"
1,"1",66,650,29,"56"
1,"1",82,657,35,"56"
1,"1",82,663,37,"56"
0,"1",66,712,38,"56"
1,"1",82,497,41,"56"
1,"1",82,535,54,"56"
0,"0",82,1085,62,"56"
1,"1",82,593,70,"56"
1,"1",71,665,71,"56"
0,"1",82,873,80,"56"
1,"1",71,526,83,"56"
0,"1",66,429,92,"56"
0,"1",71,638,2,"59"
1,"1",82,703,6,"59"
1,"1",66,895,10,"59"
0,"1",66,853,14,"59"
1,"1",82,647,15,"59"
1,"1",66,592,16,"59"
0,"1",66,607,19,"59"
1,"1",66,579,26,"59"
1,"1",71,698,29,"59"
1,"1",66,683,35,"59"
0,"1",82,599,37,"59"
0,"1",71,936,38,"59"
1,"1",82,648,41,"59"
0,"1",82,650,54,"59"
1,"1",82,564,62,"59"
0,"1",66,726,70,"59"
1,"1",82,760,71,"59"
0,"1",66,595,80,"59"
0,"1",82,641,83,"59"
1,"1",71,604,92,"59"
0,"1",66,508,2,"44"
1,"1",66,630,6,"44"
0,"1",71,638,10,"44"
0,"1",66,626,14,"44"
1,"1",71,765,15,"44"
1,"1",82,592,16,"44"
1,"1",66,568,19,"44"
0,"1",66,723,26,"44"
1,"1",82,588,29,"44"
0,"1",71,618,35,"44"
0,"1",82,798,37,"44"
1,"1",71,608,38,"44"
1,"1",66,667,41,"44"
0,"1",71,539,54,"44"
1,"1",71,460,62,"44"
1,"1",66,502,70,"44"
1,"1",82,635,71,"44"
0,"1",82,537,80,"44"
1,"1",66,507,83,"44"
1,"1",71,428,92,"44"
1,"1",82,600,2,"09"
1,"1",82,610,6,"09"
0,"1",71,1204,10,"09"
1,"1",66,1023,14,"09"
1,"1",82,650,15,"09"
0,"1",66,941,16,"09"
0,"1",71,692,19,"09"
0,"1",66,1176,26,"09"
0,"1",66,1056,29,"09"
0,"0",66,857,35,"09"
1,"1",66,638,37,"09"
0,"1",66,672,38,"09"
1,"1",66,638,41,"09"
0,"0",82,794,54,"09"
0,"1",71,806,62,"09"
1,"1",71,668,70,"09"
0,"1",82,878,71,"09"
1,"1",66,548,80,"09"
0,"1",66,1171,83,"09"
0,"1",82,594,92,"09"
1,"1",71,449,2,"25"
1,"1",71,656,6,"25"
0,"1",82,613,10,"25"
0,"1",82,618,14,"25"
0,"1",82,644,15,"25"
0,"1",71,767,16,"25"
0,"1",66,677,19,"25"
1,"1",82,564,26,"25"
1,"1",66,583,29,"25"
1,"1",71,713,35,"25"
1,"1",66,502,37,"25"
1,"1",66,603,38,"25"
1,"1",71,792,41,"25"
0,"1",82,583,54,"25"
0,"1",66,644,62,"25"
0,"1",71,539,70,"25"
1,"1",82,502,71,"25"
0,"1",71,493,80,"25"
0,"1",82,649,83,"25"
1,"1",71,809,92,"25"
