"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",71,1073,5,"20"
1,"1",82,609,6,"20"
1,"1",66,499,11,"20"
1,"1",66,458,12,"20"
0,"1",71,630,13,"20"
0,"1",66,877,15,"20"
0,"1",82,653,20,"20"
0,"1",71,890,44,"20"
1,"1",82,386,45,"20"
0,"1",82,517,50,"20"
1,"1",71,616,51,"20"
0,"0",71,1062,57,"20"
0,"1",71,849,59,"20"
0,"1",82,1212,64,"20"
0,"1",82,708,66,"20"
1,"1",82,508,73,"20"
0,"1",71,776,75,"20"
0,"1",82,680,78,"20"
0,"1",66,851,80,"20"
0,"1",66,769,83,"20"
0,"1",82,1164,5,"65"
0,"1",66,851,6,"65"
0,"1",82,699,11,"65"
1,"1",66,908,12,"65"
0,"1",71,671,13,"65"
0,"1",66,949,15,"65"
1,"1",82,933,20,"65"
0,"1",66,1424,44,"65"
1,"1",82,888,45,"65"
1,"1",82,811,50,"65"
0,"1",66,719,51,"65"
0,"1",71,911,57,"65"
1,"1",82,750,59,"65"
0,"1",66,922,64,"65"
1,"0",71,1170,66,"65"
0,"1",71,1032,73,"65"
1,"1",71,931,75,"65"
0,"1",82,1040,78,"65"
0,"1",66,791,80,"65"
0,"1",66,758,83,"65"
0,"1",82,924,5,"70"
1,"1",66,499,6,"70"
0,"1",66,1190,11,"70"
1,"1",71,630,12,"70"
1,"1",66,632,13,"70"
0,"1",66,577,15,"70"
1,"1",71,569,20,"70"
1,"1",71,540,44,"70"
0,"1",82,555,45,"70"
0,"0",71,629,50,"70"
1,"1",66,517,51,"70"
0,"1",82,842,57,"70"
1,"1",82,444,59,"70"
0,"1",71,971,64,"70"
1,"1",82,556,66,"70"
0,"1",66,961,73,"70"
0,"1",71,573,75,"70"
0,"1",66,713,78,"70"
1,"1",66,528,80,"70"
0,"1",66,687,83,"70"
1,"1",66,1122,5,"24"
1,"1",66,770,6,"24"
0,"1",71,703,11,"24"
1,"1",71,590,12,"24"
0,"1",82,998,13,"24"
0,"1",71,566,15,"24"
0,"1",71,1074,20,"24"
0,"1",66,1008,44,"24"
1,"1",71,784,45,"24"
1,"1",71,812,50,"24"
0,"1",66,971,51,"24"
0,"1",66,913,57,"24"
0,"1",71,785,59,"24"
1,"1",82,1089,64,"24"
1,"1",71,761,66,"24"
1,"1",66,789,73,"24"
0,"1",82,941,75,"24"
1,"1",71,708,78,"24"
0,"1",66,906,80,"24"
0,"1",66,810,83,"24"
0,"1",82,685,5,"53"
1,"1",82,580,6,"53"
1,"1",82,560,11,"53"
1,"1",71,703,12,"53"
1,"1",71,563,13,"53"
0,"1",71,671,15,"53"
0,"1",82,566,20,"53"
1,"1",82,581,44,"53"
1,"1",82,593,45,"53"
1,"1",82,531,50,"53"
0,"1",66,771,51,"53"
1,"1",82,564,57,"53"
0,"1",82,732,59,"53"
1,"1",66,541,64,"53"
0,"1",66,500,66,"53"
0,"1",71,554,73,"53"
0,"1",82,578,75,"53"
1,"1",66,569,78,"53"
1,"1",71,530,80,"53"
1,"1",71,615,83,"53"
