"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",71,689,1,"32"
0,"1",71,650,11,"32"
0,"1",66,710,16,"32"
1,"1",82,808,20,"32"
0,"1",82,706,36,"32"
1,"1",82,580,38,"32"
1,"1",82,609,40,"32"
1,"1",82,743,42,"32"
1,"1",82,919,52,"32"
0,"1",66,830,57,"32"
0,"1",71,980,58,"32"
0,"1",82,825,63,"32"
0,"1",66,735,65,"32"
0,"1",66,529,67,"32"
0,"1",66,814,69,"32"
1,"1",82,647,74,"32"
1,"1",71,715,75,"32"
0,"1",82,547,84,"32"
1,"1",66,694,85,"32"
1,"1",66,561,86,"32"
1,"1",66,498,1,"60"
0,"0",82,713,11,"60"
0,"1",71,444,16,"60"
1,"1",71,550,20,"60"
1,"1",82,481,36,"60"
0,"1",82,691,38,"60"
1,"1",82,539,40,"60"
0,"1",66,1094,42,"60"
0,"1",82,726,52,"60"
1,"1",82,562,57,"60"
1,"1",82,627,58,"60"
1,"0",66,848,63,"60"
1,"1",66,535,65,"60"
0,"1",66,715,67,"60"
1,"1",82,738,69,"60"
0,"1",71,870,74,"60"
0,"1",82,689,75,"60"
1,"1",71,653,84,"60"
0,"1",71,715,85,"60"
1,"1",66,628,86,"60"
1,"1",71,563,1,"40"
0,"1",71,604,11,"40"
0,"1",66,414,16,"40"
1,"1",66,344,20,"40"
0,"1",66,552,36,"40"
1,"1",71,332,38,"40"
1,"1",66,884,40,"40"
1,"1",66,353,42,"40"
0,"1",82,953,52,"40"
0,"1",82,490,57,"40"
0,"1",71,733,58,"40"
0,"1",82,565,63,"40"
0,"0",71,1105,65,"40"
1,"1",66,353,67,"40"
0,"1",66,784,69,"40"
0,"1",71,1103,74,"40"
1,"1",71,454,75,"40"
1,"1",66,303,84,"40"
1,"1",82,522,85,"40"
1,"1",71,485,86,"40"
0,"1",71,573,1,"20"
1,"1",71,578,11,"20"
1,"1",82,465,16,"20"
0,"1",66,844,20,"20"
1,"1",71,444,36,"20"
1,"1",66,467,38,"20"
1,"1",82,480,40,"20"
0,"1",66,597,42,"20"
0,"1",82,404,52,"20"
1,"1",71,498,57,"20"
1,"1",71,454,58,"20"
1,"1",66,581,63,"20"
0,"1",66,451,65,"20"
0,"1",66,722,67,"20"
0,"1",82,407,69,"20"
1,"1",66,454,74,"20"
1,"1",66,409,75,"20"
1,"1",82,613,84,"20"
0,"1",71,568,85,"20"
0,"1",66,875,86,"20"
1,"1",71,891,1,"44"
1,"1",82,676,11,"44"
1,"1",66,678,16,"44"
0,"1",66,1162,20,"44"
1,"1",66,886,36,"44"
0,"1",82,675,38,"44"
1,"1",66,733,40,"44"
0,"1",71,789,42,"44"
0,"1",82,1152,52,"44"
1,"1",71,988,57,"44"
0,"1",71,1409,58,"44"
0,"1",82,793,63,"44"
1,"0",66,1446,65,"44"
0,"1",66,752,67,"44"
1,"1",66,1035,69,"44"
1,"1",82,863,74,"44"
0,"1",66,820,75,"44"
0,"1",66,840,84,"44"
0,"1",71,1294,85,"44"
0,"1",82,851,86,"44"
