"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",66,973,2,"13"
1,"1",71,685,4,"13"
0,"1",66,771,5,"13"
1,"1",71,707,6,"13"
1,"1",66,620,7,"13"
0,"1",82,863,21,"13"
0,"1",66,1297,30,"13"
1,"1",66,720,33,"13"
0,"1",71,867,35,"13"
1,"1",82,713,39,"13"
0,"1",66,1169,45,"13"
1,"1",66,651,54,"13"
0,"1",71,821,56,"13"
1,"1",71,607,64,"13"
0,"1",66,964,65,"13"
0,"1",71,1031,76,"13"
0,"1",71,1009,79,"13"
0,"0",66,1224,82,"13"
0,"1",71,1112,89,"13"
1,"1",82,695,90,"13"
0,"1",71,704,2,"77"
1,"1",82,695,4,"77"
0,"1",82,698,5,"77"
1,"1",82,741,6,"77"
1,"1",71,673,7,"77"
1,"1",71,750,21,"77"
0,"1",71,782,30,"77"
1,"1",66,737,33,"77"
0,"1",71,970,35,"77"
1,"1",82,720,39,"77"
1,"1",66,667,45,"77"
0,"1",82,621,54,"77"
1,"1",66,571,56,"77"
1,"1",82,699,64,"77"
1,"1",71,966,65,"77"
1,"1",71,621,76,"77"
0,"1",82,742,79,"77"
0,"1",66,1024,82,"77"
0,"1",71,817,89,"77"
0,"1",71,913,90,"77"
0,"1",66,969,2,"98"
0,"1",66,485,4,"98"
0,"1",66,594,5,"98"
1,"1",71,779,6,"98"
1,"1",66,891,7,"98"
0,"1",66,391,21,"98"
1,"1",66,548,30,"98"
0,"1",71,782,33,"98"
0,"1",82,1016,35,"98"
1,"1",71,656,39,"98"
1,"1",71,922,45,"98"
0,"1",82,916,54,"98"
1,"1",66,1108,56,"98"
0,"1",82,781,64,"98"
0,"1",71,985,65,"98"
1,"1",71,546,76,"98"
1,"1",82,1073,79,"98"
0,"1",71,796,82,"98"
0,"0",82,750,89,"98"
1,"1",82,660,2,"79"
1,"1",82,625,4,"79"
1,"1",71,796,5,"79"
0,"1",82,762,6,"79"
1,"1",82,570,7,"79"
0,"1",82,622,21,"79"
1,"1",66,634,30,"79"
0,"1",82,792,33,"79"
0,"1",71,656,35,"79"
0,"1",71,739,39,"79"
0,"1",71,730,45,"79"
1,"1",71,707,54,"79"
1,"1",82,545,56,"79"
0,"1",71,960,64,"79"
1,"1",66,712,65,"79"
1,"1",71,615,76,"79"
0,"1",66,869,79,"79"
1,"1",66,626,82,"79"
0,"1",71,683,89,"79"
0,"1",71,1043,90,"79"
0,"1",66,796,2,"09"
0,"1",82,523,4,"09"
0,"1",66,681,5,"09"
0,"1",82,624,6,"09"
1,"1",71,609,7,"09"
1,"1",71,770,21,"09"
1,"1",66,578,30,"09"
0,"1",71,768,33,"09"
1,"1",71,649,35,"09"
1,"1",66,481,39,"09"
1,"1",71,677,45,"09"
0,"1",82,693,54,"09"
1,"1",66,713,56,"09"
1,"1",66,396,64,"09"
1,"1",82,547,65,"09"
0,"1",66,615,76,"09"
0,"1",71,770,79,"09"
0,"1",66,677,82,"09"
1,"1",66,454,89,"09"
0,"1",71,851,90,"09"
