"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",71,617,7,"03"
0,"1",82,662,8,"03"
0,"1",71,1396,11,"03"
1,"1",66,637,12,"03"
1,"1",66,475,13,"03"
0,"1",71,598,16,"03"
0,"1",71,506,17,"03"
1,"1",66,470,30,"03"
0,"1",82,737,32,"03"
1,"1",71,591,33,"03"
0,"1",82,737,36,"03"
1,"1",71,619,42,"03"
1,"1",71,450,45,"03"
1,"1",66,611,54,"03"
1,"1",66,421,55,"03"
0,"1",71,579,58,"03"
1,"1",82,497,66,"03"
0,"1",66,723,77,"03"
1,"1",71,514,88,"03"
0,"1",82,643,96,"03"
0,"1",66,1364,7,"57"
1,"1",71,954,8,"57"
0,"1",82,985,11,"57"
1,"1",66,1017,12,"57"
0,"1",66,1466,13,"57"
1,"1",66,1029,16,"57"
1,"1",82,757,17,"57"
0,"1",71,1339,30,"57"
0,"1",82,937,32,"57"
0,"1",71,1361,33,"57"
0,"1",71,1215,36,"57"
1,"1",66,1197,42,"57"
1,"1",71,970,45,"57"
1,"1",82,1000,54,"57"
0,"1",66,1320,55,"57"
1,"1",82,807,58,"57"
1,"1",66,732,66,"57"
1,"1",71,953,77,"57"
0,"1",82,993,88,"57"
0,"1",66,1188,96,"57"
0,"1",82,560,7,"26"
0,"1",71,875,8,"26"
0,"1",82,699,11,"26"
0,"1",71,777,12,"26"
0,"1",82,640,13,"26"
1,"1",82,503,16,"26"
0,"1",66,633,17,"26"
0,"1",71,621,30,"26"
1,"1",71,544,32,"26"
0,"1",71,436,33,"26"
0,"1",71,458,36,"26"
1,"1",71,607,42,"26"
1,"1",71,551,45,"26"
1,"1",71,1018,54,"26"
1,"1",71,492,55,"26"
0,"1",71,901,58,"26"
1,"1",82,507,66,"26"
1,"1",66,832,77,"26"
0,"1",82,825,88,"26"
0,"1",82,689,7,"74"
0,"1",82,1193,8,"74"
1,"1",71,432,11,"74"
0,"1",71,679,12,"74"
1,"1",66,815,13,"74"
1,"1",71,529,16,"74"
0,"1",82,793,17,"74"
1,"1",82,487,30,"74"
1,"1",71,585,32,"74"
1,"1",71,480,33,"74"
0,"1",66,394,36,"74"
0,"1",71,465,42,"74"
1,"1",66,617,45,"74"
0,"1",71,772,54,"74"
1,"1",66,524,55,"74"
0,"1",71,580,58,"74"
0,"1",82,481,66,"74"
0,"1",71,810,77,"74"
0,"1",66,419,88,"74"
1,"1",82,407,96,"74"
1,"1",82,560,7,"94"
1,"1",66,418,8,"94"
0,"1",82,817,11,"94"
0,"1",82,636,12,"94"
1,"1",66,538,13,"94"
1,"1",82,606,16,"94"
0,"1",82,680,17,"94"
0,"1",82,604,30,"94"
0,"1",71,894,32,"94"
0,"1",71,811,33,"94"
0,"1",71,623,36,"94"
1,"1",71,539,42,"94"
0,"1",66,797,45,"94"
0,"1",71,838,54,"94"
1,"1",66,574,55,"94"
0,"1",71,738,58,"94"
0,"1",66,718,66,"94"
1,"1",71,632,77,"94"
0,"1",66,651,88,"94"
0,"1",66,796,96,"94"
