"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",66,352,6,"94"
1,"1",66,476,16,"94"
1,"1",71,499,17,"94"
1,"1",82,460,20,"94"
1,"1",82,428,22,"94"
0,"1",71,982,28,"94"
1,"1",71,454,29,"94"
1,"1",82,438,30,"94"
0,"1",71,551,36,"94"
0,"1",66,592,38,"94"
0,"1",71,540,39,"94"
1,"1",71,525,45,"94"
0,"1",71,487,51,"94"
1,"1",71,458,55,"94"
0,"1",82,391,56,"94"
0,"1",66,469,57,"94"
1,"1",66,976,67,"94"
0,"1",71,886,70,"94"
1,"1",71,538,87,"94"
0,"1",71,599,95,"94"
0,"1",66,466,6,"79"
1,"1",82,620,16,"79"
0,"1",82,632,17,"79"
1,"1",66,635,20,"79"
0,"1",66,470,22,"79"
1,"1",71,641,28,"79"
1,"1",71,674,29,"79"
1,"1",82,630,30,"79"
0,"1",82,653,36,"79"
1,"1",71,844,38,"79"
1,"1",82,636,39,"79"
1,"1",71,499,45,"79"
1,"1",66,886,51,"79"
1,"1",71,606,55,"79"
1,"1",71,658,56,"79"
1,"1",71,590,57,"79"
1,"1",66,806,67,"79"
1,"1",82,636,70,"79"
1,"1",66,526,87,"79"
1,"1",71,833,95,"79"
0,"1",82,399,6,"29"
1,"1",82,698,16,"29"
0,"1",71,849,17,"29"
1,"1",71,499,20,"29"
0,"1",71,848,22,"29"
0,"1",71,699,28,"29"
0,"1",71,498,29,"29"
0,"1",82,600,30,"29"
0,"1",71,813,36,"29"
1,"1",82,619,38,"29"
1,"1",71,384,39,"29"
0,"1",66,792,45,"29"
0,"1",82,962,51,"29"
1,"1",66,780,55,"29"
0,"1",66,865,56,"29"
0,"1",71,624,57,"29"
1,"1",82,492,67,"29"
1,"1",82,633,70,"29"
0,"1",71,711,87,"29"
1,"1",66,717,95,"29"
0,"1",71,723,6,"48"
1,"1",82,588,16,"48"
1,"1",66,549,17,"48"
1,"1",66,656,20,"48"
1,"1",71,597,22,"48"
1,"1",66,685,28,"48"
1,"1",82,989,29,"48"
0,"1",71,1123,30,"48"
0,"1",66,948,36,"48"
0,"1",66,806,38,"48"
1,"1",82,1099,39,"48"
0,"1",82,674,45,"48"
0,"1",71,1248,51,"48"
1,"1",71,744,55,"48"
1,"1",82,672,56,"48"
0,"1",82,575,57,"48"
1,"1",71,997,67,"48"
1,"1",71,625,70,"48"
0,"1",71,1117,87,"48"
1,"1",71,935,95,"48"
0,"1",82,614,6,"42"
0,"0",82,604,16,"42"
1,"1",66,540,17,"42"
0,"1",66,508,20,"42"
1,"1",82,525,22,"42"
0,"1",71,611,28,"42"
1,"1",82,606,29,"42"
0,"1",82,814,30,"42"
0,"1",66,923,36,"42"
1,"1",82,523,38,"42"
1,"1",71,529,39,"42"
0,"1",82,775,45,"42"
0,"1",71,705,51,"42"
1,"1",82,591,55,"42"
1,"1",82,526,56,"42"
1,"1",66,561,57,"42"
0,"0",82,1461,67,"42"
1,"1",66,478,70,"42"
0,"1",71,601,87,"42"
1,"1",82,496,95,"42"
