"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",71,979,4,"86"
1,"1",82,1146,5,"86"
1,"1",71,1039,6,"86"
0,"1",71,1497,8,"86"
0,"1",71,972,12,"86"
0,"1",66,915,16,"86"
0,"1",71,1101,22,"86"
1,"1",66,808,23,"86"
0,"1",71,1114,25,"86"
0,"1",66,1037,26,"86"
0,"1",66,930,27,"86"
1,"1",82,1088,30,"86"
0,"1",82,761,33,"86"
0,"1",82,756,35,"86"
1,"1",71,788,55,"86"
0,"1",82,1040,60,"86"
0,"1",71,993,68,"86"
0,"1",66,764,69,"86"
1,"1",71,769,79,"86"
1,"1",66,840,86,"86"
1,"1",82,634,4,"99"
1,"1",82,531,5,"99"
1,"1",71,604,6,"99"
1,"1",71,424,8,"99"
1,"1",71,479,12,"99"
1,"1",66,443,16,"99"
1,"1",82,902,22,"99"
0,"1",82,622,23,"99"
1,"1",66,544,25,"99"
1,"1",82,584,26,"99"
1,"1",82,547,27,"99"
1,"1",71,455,30,"99"
1,"1",71,567,33,"99"
0,"1",66,646,35,"99"
1,"1",82,554,55,"99"
1,"1",82,723,60,"99"
1,"1",66,534,68,"99"
0,"1",82,763,69,"99"
0,"1",66,620,79,"99"
0,"1",66,575,86,"99"
0,"1",66,983,4,"86"
0,"1",71,804,5,"86"
1,"1",71,892,6,"86"
1,"1",66,736,8,"86"
0,"1",82,812,12,"86"
0,"1",71,787,16,"86"
0,"1",71,1255,22,"86"
1,"1",66,527,23,"86"
0,"1",71,692,25,"86"
1,"1",82,1335,26,"86"
0,"1",71,715,27,"86"
1,"1",66,690,30,"86"
1,"1",71,702,33,"86"
0,"1",82,872,35,"86"
1,"1",82,664,55,"86"
0,"1",66,608,60,"86"
1,"1",66,502,68,"86"
1,"1",66,493,69,"86"
0,"1",66,995,79,"86"
0,"1",71,625,86,"86"
1,"1",82,619,4,"90"
0,"1",71,788,5,"90"
1,"1",66,548,6,"90"
1,"1",66,639,8,"90"
0,"1",82,632,12,"90"
1,"1",66,632,16,"90"
1,"1",66,654,22,"90"
0,"1",71,894,23,"90"
1,"1",82,563,25,"90"
0,"1",71,749,26,"90"
1,"1",71,710,27,"90"
0,"1",82,639,30,"90"
1,"1",82,617,33,"90"
1,"1",82,672,35,"90"
0,"1",82,681,55,"90"
1,"1",71,585,60,"90"
1,"1",71,907,68,"90"
1,"1",82,693,69,"90"
0,"1",71,865,79,"90"
0,"1",82,554,86,"90"
1,"1",66,745,4,"45"
1,"1",66,688,5,"45"
0,"1",66,818,6,"45"
1,"1",71,735,8,"45"
1,"1",71,484,12,"45"
0,"1",66,797,16,"45"
0,"1",82,711,22,"45"
1,"1",82,625,23,"45"
0,"1",71,542,25,"45"
1,"1",82,643,26,"45"
0,"1",66,743,27,"45"
1,"1",82,728,30,"45"
1,"1",66,598,33,"45"
0,"1",71,989,35,"45"
1,"1",82,602,55,"45"
0,"1",66,855,60,"45"
0,"1",71,987,68,"45"
1,"1",71,587,69,"45"
1,"1",66,691,79,"45"
1,"1",71,705,86,"45"
