"condition","correct","key_press","rt","trial_ids","subj_id"
0,"1",66,1210,5,"52"
1,"1",71,778,6,"52"
1,"1",82,597,13,"52"
0,"1",71,635,15,"52"
0,"1",82,533,26,"52"
0,"1",66,600,28,"52"
0,"1",71,619,33,"52"
1,"1",71,613,49,"52"
1,"1",82,579,55,"52"
1,"1",82,478,57,"52"
0,"1",66,807,58,"52"
1,"1",82,639,59,"52"
0,"1",66,770,60,"52"
1,"1",66,579,61,"52"
1,"1",66,553,73,"52"
1,"1",66,517,75,"52"
1,"1",66,578,77,"52"
1,"1",71,643,91,"52"
1,"1",71,589,95,"52"
1,"1",66,592,96,"52"
0,"1",82,579,5,"23"
1,"1",82,445,6,"23"
1,"1",71,548,13,"23"
1,"1",66,556,15,"23"
1,"1",71,680,26,"23"
1,"1",82,444,28,"23"
0,"1",71,777,33,"23"
1,"1",82,609,49,"23"
1,"1",66,392,55,"23"
0,"1",66,854,57,"23"
1,"1",71,648,58,"23"
0,"1",82,517,59,"23"
0,"1",66,858,60,"23"
0,"1",71,660,61,"23"
1,"1",82,825,73,"23"
1,"1",66,500,75,"23"
1,"1",66,408,77,"23"
0,"1",82,865,91,"23"
1,"1",71,636,95,"23"
1,"1",82,566,96,"23"
0,"1",82,629,5,"22"
0,"1",66,523,6,"22"
0,"1",71,835,13,"22"
0,"1",82,560,15,"22"
0,"1",82,565,26,"22"
1,"1",66,545,28,"22"
0,"1",71,639,33,"22"
0,"1",71,811,49,"22"
1,"1",82,625,55,"22"
1,"1",66,622,57,"22"
1,"1",82,661,58,"22"
0,"1",82,647,59,"22"
0,"1",71,909,60,"22"
0,"1",66,530,61,"22"
0,"1",71,983,73,"22"
1,"1",82,595,75,"22"
1,"1",71,657,77,"22"
1,"1",82,525,91,"22"
0,"1",66,695,95,"22"
0,"1",71,443,5,"33"
1,"1",66,509,6,"33"
0,"1",66,693,13,"33"
1,"1",82,557,15,"33"
0,"1",66,742,26,"33"
1,"1",71,813,28,"33"
1,"1",66,618,33,"33"
1,"1",71,482,49,"33"
1,"1",71,429,55,"33"
0,"1",66,723,57,"33"
0,"1",82,673,58,"33"
1,"1",71,452,59,"33"
1,"1",82,597,60,"33"
0,"1",71,623,61,"33"
1,"1",66,401,73,"33"
0,"1",71,731,75,"33"
1,"1",66,666,77,"33"
1,"1",71,837,91,"33"
0,"1",71,787,95,"33"
1,"1",82,721,96,"33"
1,"1",71,560,5,"59"
1,"1",66,643,6,"59"
1,"1",82,680,13,"59"
0,"1",66,744,15,"59"
1,"1",71,733,26,"59"
1,"1",66,837,28,"59"
0,"0",82,837,33,"59"
1,"1",71,760,49,"59"
0,"1",71,751,55,"59"
0,"0",82,873,57,"59"
0,"1",71,723,58,"59"
0,"1",82,1029,59,"59"
1,"1",82,493,60,"59"
1,"1",82,538,61,"59"
1,"1",71,625,73,"59"
0,"1",66,847,75,"59"
1,"1",82,634,77,"59"
1,"1",82,565,91,"59"
0,"0",71,633,95,"59"
