s1,s2,s,group
94.39524353,101.5928653,94.39524353,1
97.69822511,106.5473377,97.69822511,1
115.5870831,133.3806247,115.5870831,1
100.7050839,111.0576259,100.7050839,1
101.2928774,111.939316,101.2928774,1
117.1506499,135.7259748,117.1506499,1
104.6091621,116.9137431,104.6091621,1
87.34938765,91.02408148,87.34938765,1
93.13147148,99.69720722,93.13147148,1
95.5433803,103.3150704,95.5433803,1
112.240818,128.361227,112.240818,1
103.5981383,115.3972074,103.5981383,1
104.0077145,116.0115718,104.0077145,1
101.1068272,111.6602407,101.1068272,1
94.44158865,101.662383,94.44158865,1
117.8691314,136.8036971,117.8691314,1
104.9785048,117.4677572,104.9785048,1
80.33382843,80.50074265,80.33382843,1
107.013559,120.5203385,107.013559,1
95.27208592,102.9081289,95.27208592,1
,,101.5928653,2
,,106.5473377,2
,,133.3806247,2
,,111.0576259,2
,,111.939316,2
,,135.7259748,2
,,116.9137431,2
,,91.02408148,2
,,99.69720722,2
,,103.3150704,2
,,128.361227,2
,,115.3972074,2
,,116.0115718,2
,,111.6602407,2
,,101.662383,2
,,136.8036971,2
,,117.4677572,2
,,80.50074265,2
,,120.5203385,2
,,102.9081289,2
